comment_id,comment_text,post_id,user_id
1,"Love your posts, always refreshing!",26,6
2,"Keep shining, chasing those dreams!",12,17
3,"Living through your adventures, thanks!",29,15
4,"Your perspective is inspiring, always!",49,21
5,"Positivity in every post, thank you!",37,34
6,Your photos brighten my day!,3,34
7,"Creativity unleashed, keep it up!",86,21
8,Thanks for spreading joy!,81,28
9,Your posts are sunshine!,83,48
10,"Authentic and awesome, keep going!",38,23
11,Inspiring wisdom in every word!,92,27
12,Love the vibrancy in your art!,83,7
13,"Spice up our lives, keep cooking!",5,50
14,"Urban vibes in every post, love it!",42,4
15,"Your mantra resonates, thank you!",59,25
16,Cheers to your colorful creations!,62,31
17,"Feeding the soul, thanks!",27,8
18,"Deliciously inspiring, keep it up!",83,36
19,"Sipping chai with you, cheers!",34,13
20,Keep tantalizing those taste buds!,81,46
21,Your culinary creations amaze!,77,38
22,"Loving the Desi flavor, keep it up!",96,19
23,"Vibrant strokes, keep painting!",58,10
24,"Your art is breathtaking, thank you!",64,44
25,"Inspiring a Desi vibe, always!",81,4
26,"Spicing things up, love it!",36,20
27,Your chai chronicles are a joy!,45,25
28,"Chai and chats, always fun!",21,47
29,Love your urban adventures!,3,46
30,Keep sharing the chai love!,51,39
31,"Every post is art, thank you!",37,47
32,"Brightening our feeds, thank you!",68,22
33,"Positive vibes only, thank you!",6,35
34,"Your content is a joy, thank you!",29,47
35,"Authenticity rocks, keep it up!",2,14
36,"Your posts inspire, thank you!",39,41
37,"Creativity shines, keep going!",40,33
38,"Love your perspective, always!",79,29
39,"Positivity overload, thank you!",45,35
40,"Sunshine in every post, thank you!",41,33
41,"Your feed is paradise, thank you!",18,49
42,"Resonating deeply, thank you!",45,14
43,"Authentic and awesome, keep it up!",39,5
44,"Inspiring thoughts, thank you!",47,45
45,"Creativity at its best, thank you!",85,13
46,"Your perspective is refreshing, thank you!",51,35
47,"Brightening our days, thank you!",99,15
48,"Inspiring passion, thank you!",5,23
49,"Motivating us, thank you!",78,14
50,"Refreshing content, love it!",25,14
51,"Thought-provoking, thank you!",86,46
52,"Authenticity shines through, thank you!",70,10
53,"Constant inspiration, thank you!",70,22
54,"Refreshing perspective, thank you!",25,32
55,"Creativity unleashed, thank you!",24,25
56,"Joyful content, thank you!",94,15
57,"Love your feed, thank you!",89,34
58,"Deeply resonating, thank you!",100,1
59,"Keep inspiring us, thank you!",75,40
60,"Creative genius, thank you!",82,29
61,"Your authenticity shines, thank you!",93,6
62,"Motivating us daily, thank you!",74,31
63,"Refreshing creativity, thank you!",46,11
64,"Uplifting content, thank you!",13,25
65,"Spreading positivity, thank you!",31,7
66,"Inspiring us all, thank you!",57,44
67,"Your content is a gem, thank you!",58,39
68,"Brightening our feeds, thank you!",35,7
69,"Thoughtful content, thank you!",20,43
70,"Authentic and amazing, thank you!",98,31
71,"Your creativity is a breath of fresh air, thank you!",84,36
72,"Your perspective always resonates, thank you!",29,42
73,"Your posts are a ray of sunshine, thank you!",100,35
74,"Authenticity at its finest, thank you!",3,7
75,Thank you for sharing your journey!,44,7
76,"Your content inspires me daily, thank you!",42,19
77,"Each post is a masterpiece, thank you!",32,19
78,"Your positivity is contagious, thank you!",59,6
79,"Your words uplift my spirits, thank you!",99,9
80,"Your creativity is inspiring, thank you!",25,32
81,"Your feed is a source of joy, thank you!",12,25
82,"Your posts always make me smile, thank you!",71,1
83,"Your perspective is a gift, thank you!",2,33
84,"Your passion shines through, thank you!",26,20
85,"Your content brightens my day, thank you!",48,44
86,Thank you for being authentic!,18,25
87,"Your posts are a delight to see, thank you!",22,25
88,"Your creativity brings joy, thank you!",36,48
89,"Your words resonate deeply, thank you!",66,12
90,"Your positivity is refreshing, thank you!",11,35
91,Thank you for sharing your talent with us!,13,21
92,"Your authenticity is admirable, thank you!",94,13
93,"Your posts inspire me to be better, thank you!",28,26
94,"Your perspective is insightful, thank you!",29,20
95,"Your content is a blessing, thank you!",76,20
96,"Your posts bring positivity, thank you!",6,23
97,"Your creativity is a blessing, thank you!",80,24
98,"Your words are powerful, thank you!",27,18
99,"Your posts bring light to my day, thank you!",5,30
100,Thank you for sharing your gifts with us!,87,15
101,"Your authenticity is inspiring, thank you!",18,16
102,"Your creativity is a joy to see, thank you!",73,5
103,"Your perspective is refreshing, thank you!",30,31
104,"Your positivity is contagious, thank you!",26,37
105,Thank you for sharing your journey with us!,80,49
106,"Your words always resonate, thank you!",48,43
107,"Your content is a bright spot in my day, thank you!",56,5
108,"Your posts inspire me to do more, thank you!",66,50
109,"Your creativity is a gift, thank you!",92,15
110,"Your authenticity shines through, thank you!",86,49
111,"Your perspective is invaluable, thank you!",26,44
112,"Your positivity is uplifting, thank you!",16,24
113,Thank you for sharing your talent!,60,18
114,"Your posts brighten my day, thank you!",53,26
115,"Your creativity brings joy to my feed, thank you!",88,11
116,"Your words are a source of inspiration, thank you!",39,13
117,"Your content is always appreciated, thank you!",52,26
118,"Your posts bring a smile to my face, thank you!",72,41
119,"Your perspective is enlightening, thank you!",83,25
120,"Your positivity is infectious, thank you!",39,3
121,Thank you for being genuine!,58,40
122,"Your creativity is a breath of fresh air, thank you!",30,13
123,"Your words resonate deeply with me, thank you!",45,27
124,"Your posts are a source of inspiration, thank you!",18,36
125,"Your content brings joy to my heart, thank you!",19,6
126,"Your authenticity is refreshing, thank you!",21,29
127,"Your perspective is thought-provoking, thank you!",49,25
128,"Your positivity brightens my day, thank you!",13,14
129,Thank you for sharing your talent with us!,100,20
130,"Your posts always leave me feeling inspired, thank you!",95,49
131,"Your creativity knows no bounds, thank you!",20,9
132,"Your words have a profound impact, thank you!",59,45
133,"Your content is a ray of sunshine, thank you!",5,39
134,"Your posts bring positivity to my feed, thank you!",83,43
135,"Your authenticity shines through in everything you do, thank you!",59,45
136,"Your perspective is always enlightening, thank you!",3,12
137,"Your positivity is contagious, thank you!",67,22
138,Thank you for sharing your gifts with us!,27,8
139,"Your creativity is a true blessing, thank you!",35,15
140,"Your words resonate deeply, thank you!",86,50
141,"Your posts are a constant source of inspiration, thank you!",69,39
142,"Your content brightens my day, thank you!",62,48
143,"Your authenticity is inspiring, thank you!",69,19
144,"Your perspective is always thought-provoking, thank you!",67,11
145,"Your positivity is uplifting, thank you!",4,40
146,Thank you for being genuine!,42,11
147,"Your creativity is truly remarkable, thank you!",33,15
148,"Your words speak volumes, thank you!",94,18
149,"Your posts bring joy to my heart, thank you!",93,36
150,"Your content is always appreciated, thank you!",49,8
151,"Your authenticity shines through, thank you!",7,18
152,"Your perspective is invaluable, thank you!",85,42
153,"Your positivity is infectious, thank you!",16,26
154,Thank you for sharing your talent with us!,44,41
155,"Your posts always leave me feeling inspired, thank you!",60,47
156,"Your creativity knows no bounds, thank you!",43,9
157,"Your words have a profound impact, thank you!",23,31
158,"Your content is a ray of sunshine, thank you!",71,43
159,"Your posts bring positivity to my feed, thank you!",83,30
160,"Your authenticity shines through in everything you do, thank you!",11,40
161,"Your perspective is always enlightening, thank you!",96,39
162,"Your positivity is contagious, thank you!",30,42
163,Thank you for sharing your gifts with us!,41,47
164,"Your creativity is a true blessing, thank you!",49,32
165,"Your words resonate deeply, thank you!",22,1
166,"Your posts are a constant source of inspiration, thank you!",33,48
167,"Your content brightens my day, thank you!",3,18
168,"Your authenticity is inspiring, thank you!",29,6
169,"Your perspective is always thought-provoking, thank you!",15,23
170,"Your positivity is uplifting, thank you!",41,47
171,Thank you for being genuine!,8,33
172,"Your creativity is truly remarkable, thank you!",1,24
173,"Your words speak volumes, thank you!",68,41
174,"Your posts bring joy to my heart, thank you!",2,46
175,"Your content is always appreciated, thank you!",61,36
176,"Your authenticity shines through, thank you!",10,18
177,"Your perspective is invaluable, thank you!",38,20
178,"Your positivity is infectious, thank you!",64,49
179,Thank you for sharing your talent with us!,69,16
180,"Your posts always leave me feeling inspired, thank you!",4,28
181,"Your creativity knows no bounds, thank you!",78,39
182,"Your words have a profound impact, thank you!",42,30
183,"Your content is a ray of sunshine, thank you!",1,1
184,"Your posts bring positivity to my feed, thank you!",61,1
185,"Your authenticity shines through in everything you do, thank you!",29,48
186,"Your perspective is always enlightening, thank you!",97,27
187,"Your positivity is contagious, thank you!",69,19
188,Thank you for sharing your gifts with us!,25,15
189,"Your creativity is a true blessing, thank you!",66,23
190,"Your words resonate deeply, thank you!",6,5
191,"Your posts are a constant source of inspiration, thank you!",13,9
192,"Your content brightens my day, thank you!",26,32
193,"Your authenticity is inspiring, thank you!",72,39
194,"Your perspective is always thought-provoking, thank you!",23,31
195,"Your positivity is uplifting, thank you!",58,4
196,Thank you for being genuine!,68,34
197,"Your creativity is truly remarkable, thank you!",93,48
198,"Your words speak volumes, thank you!",10,6
199,"Your posts bring joy to my heart, thank you!",98,46
